campaign_id,advertiser,vertical,channel,contracted_cpl,commission_per_conversion
CMP-101,Summit Insurance Group,Health Insurance,Paid Search,32,165
CMP-102,Summit Insurance Group,Health Insurance,Paid Social,29,160
CMP-103,Everwell Life,Life Insurance,Paid Search,27,190
CMP-104,Pinnacle Auto Direct,Auto Insurance,Native,13,82
CMP-105,Pinnacle Auto Direct,Auto Insurance,Affiliate,11,78
CMP-106,Coastal P&C Partners,Home Insurance,Display,18,95
CMP-107,BlueHarbor Health,Health Insurance,Paid Social,35,175
CMP-108,BlueHarbor Health,Health Insurance,Affiliate,26,150
CMP-109,Medicare Solutions Co.,Medicare,Paid Search,38,195
CMP-110,Medicare Solutions Co.,Medicare,Display,31,170
CMP-111,Guardian Life Partners,Life Insurance,Native,24,205
CMP-112,Horizon Auto Insurance,Auto Insurance,Paid Search,16,90
CMP-113,Horizon Auto Insurance,Auto Insurance,Paid Social,12,75
